timestamp,power_kw,dataset,series_id
2013-08-11 03:15:00,18.625006,I-BLEND,Academic
2013-08-11 03:30:00,18.667228,I-BLEND,Academic
2013-08-11 03:45:00,18.243287,I-BLEND,Academic
2013-08-11 04:00:00,18.094491,I-BLEND,Academic
2013-08-11 04:15:00,18.085981,I-BLEND,Academic
2013-08-11 04:30:00,18.012552,I-BLEND,Academic
2013-08-11 04:45:00,17.875084,I-BLEND,Academic
2013-08-11 05:00:00,17.997756,I-BLEND,Academic
2013-08-11 05:15:00,17.796049,I-BLEND,Academic
2013-08-11 05:30:00,17.501501,I-BLEND,Academic
2013-08-11 05:45:00,15.985783,I-BLEND,Academic
2013-08-11 06:00:00,12.027654,I-BLEND,Academic
2013-08-11 06:15:00,11.925664,I-BLEND,Academic
2013-08-11 06:30:00,11.782027,I-BLEND,Academic
2013-08-11 06:45:00,11.934135,I-BLEND,Academic
2013-08-11 07:00:00,11.730249,I-BLEND,Academic
2013-08-11 07:15:00,12.010683,I-BLEND,Academic
2013-08-11 07:30:00,11.874537,I-BLEND,Academic
2013-08-11 07:45:00,12.004271,I-BLEND,Academic
2013-08-11 08:00:00,12.101212,I-BLEND,Academic
2013-08-11 08:15:00,12.375492,I-BLEND,Academic
2013-08-11 08:30:00,13.879796,I-BLEND,Academic
2013-08-11 08:45:00,14.642497,I-BLEND,Academic
2013-08-11 09:00:00,14.763346,I-BLEND,Academic
2013-08-11 09:15:00,15.073939,I-BLEND,Academic
2013-08-11 09:30:00,17.195056,I-BLEND,Academic
2013-08-11 09:45:00,16.357233,I-BLEND,Academic
2013-08-11 10:00:00,17.145332,I-BLEND,Academic
2013-08-11 10:15:00,16.786305,I-BLEND,Academic
2013-08-11 10:30:00,16.923891,I-BLEND,Academic
2013-08-11 10:45:00,17.220824,I-BLEND,Academic
2013-08-11 11:00:00,19.026378,I-BLEND,Academic
2013-08-11 11:15:00,18.462018,I-BLEND,Academic
2013-08-11 11:30:00,18.165279,I-BLEND,Academic
2013-08-11 11:45:00,16.926978,I-BLEND,Academic
2013-08-11 12:00:00,18.077999,I-BLEND,Academic
2013-08-11 12:15:00,18.745097,I-BLEND,Academic
2013-08-11 12:30:00,18.108903,I-BLEND,Academic
2013-08-11 12:45:00,17.798762,I-BLEND,Academic
2013-08-11 13:00:00,17.956476,I-BLEND,Academic
2013-08-11 13:15:00,17.717046,I-BLEND,Academic
2013-08-11 13:30:00,17.777106,I-BLEND,Academic
2013-08-11 13:45:00,16.460465,I-BLEND,Academic
2013-08-11 14:00:00,16.674399,I-BLEND,Academic
2013-08-11 14:15:00,16.975855,I-BLEND,Academic
2013-08-11 14:30:00,18.121657,I-BLEND,Academic
2013-08-11 14:45:00,16.540779,I-BLEND,Academic
2013-08-11 15:00:00,15.880223,I-BLEND,Academic
2013-08-11 15:15:00,16.387101,I-BLEND,Academic
2013-08-11 15:30:00,16.121518,I-BLEND,Academic
2013-08-11 15:45:00,16.151494,I-BLEND,Academic
2013-08-11 16:00:00,16.188863,I-BLEND,Academic
2013-08-11 16:15:00,15.044285,I-BLEND,Academic
2013-08-11 16:30:00,14.640222,I-BLEND,Academic
2013-08-11 16:45:00,14.778659,I-BLEND,Academic
2013-08-11 17:00:00,14.395429,I-BLEND,Academic
2013-08-11 17:15:00,12.807097,I-BLEND,Academic
2013-08-11 17:30:00,12.615009,I-BLEND,Academic
2013-08-11 17:45:00,12.472660,I-BLEND,Academic
2013-08-11 18:00:00,11.828321,I-BLEND,Academic
2013-08-11 18:15:00,11.651634,I-BLEND,Academic
2013-08-11 18:30:00,11.875091,I-BLEND,Academic
2013-08-11 18:45:00,11.938047,I-BLEND,Academic
2013-08-11 19:00:00,16.996710,I-BLEND,Academic
2013-08-11 19:15:00,22.322089,I-BLEND,Academic
2013-08-11 19:30:00,21.031097,I-BLEND,Academic
2013-08-11 19:45:00,21.164122,I-BLEND,Academic
2013-08-11 20:00:00,20.232600,I-BLEND,Academic
2013-08-11 20:15:00,18.063285,I-BLEND,Academic
2013-08-11 20:30:00,18.297869,I-BLEND,Academic
2013-08-11 20:45:00,17.498476,I-BLEND,Academic
2013-08-11 21:00:00,17.247139,I-BLEND,Academic
2013-08-11 21:15:00,16.722280,I-BLEND,Academic
2013-08-11 21:30:00,16.731498,I-BLEND,Academic
2013-08-11 21:45:00,17.078201,I-BLEND,Academic
2013-08-11 22:00:00,17.917086,I-BLEND,Academic
2013-08-11 22:15:00,18.689153,I-BLEND,Academic
2013-08-11 22:30:00,18.459164,I-BLEND,Academic
2013-08-11 22:45:00,18.906496,I-BLEND,Academic
2013-08-11 23:00:00,18.657873,I-BLEND,Academic
2013-08-11 23:15:00,18.162680,I-BLEND,Academic
2013-08-11 23:30:00,18.195743,I-BLEND,Academic
2013-08-11 23:45:00,17.963288,I-BLEND,Academic
2013-08-12 00:00:00,17.871246,I-BLEND,Academic
2013-08-12 00:15:00,17.565507,I-BLEND,Academic
2013-08-12 00:30:00,17.596461,I-BLEND,Academic
2013-08-12 00:45:00,18.103413,I-BLEND,Academic
2013-08-12 01:00:00,18.058608,I-BLEND,Academic
2013-08-12 01:15:00,17.955304,I-BLEND,Academic
2013-08-12 01:30:00,17.598129,I-BLEND,Academic
2013-08-12 01:45:00,17.511514,I-BLEND,Academic
2013-08-12 02:00:00,16.370268,I-BLEND,Academic
2013-08-12 02:15:00,16.068130,I-BLEND,Academic
2013-08-12 02:30:00,15.974450,I-BLEND,Academic
2013-08-12 02:45:00,15.774506,I-BLEND,Academic
2013-08-12 03:00:00,15.931063,I-BLEND,Academic
2013-08-12 03:15:00,15.565197,I-BLEND,Academic
2013-08-12 03:30:00,15.673944,I-BLEND,Academic
2013-08-12 03:45:00,15.416066,I-BLEND,Academic
2013-08-12 04:00:00,15.598538,I-BLEND,Academic
2013-08-12 04:15:00,15.360335,I-BLEND,Academic
2013-08-12 04:30:00,15.623764,I-BLEND,Academic
2013-08-12 04:45:00,15.327993,I-BLEND,Academic
2013-08-12 05:00:00,15.530951,I-BLEND,Academic
2013-08-12 05:15:00,15.389909,I-BLEND,Academic
2013-08-12 05:30:00,15.404611,I-BLEND,Academic
2013-08-12 05:45:00,14.806822,I-BLEND,Academic
2013-08-12 06:00:00,10.064286,I-BLEND,Academic
2013-08-12 06:15:00,9.148489,I-BLEND,Academic
2013-08-12 06:30:00,8.817685,I-BLEND,Academic
2013-08-12 06:45:00,9.087872,I-BLEND,Academic
2013-08-12 07:00:00,9.452301,I-BLEND,Academic
2013-08-12 07:15:00,13.811132,I-BLEND,Academic
2013-08-12 07:30:00,24.637706,I-BLEND,Academic
2013-08-12 07:45:00,33.786026,I-BLEND,Academic
2013-08-12 08:00:00,37.085174,I-BLEND,Academic
2013-08-12 08:15:00,40.029150,I-BLEND,Academic
2013-08-12 08:30:00,42.293682,I-BLEND,Academic
2013-08-12 08:45:00,43.915838,I-BLEND,Academic
2013-08-12 09:00:00,45.220564,I-BLEND,Academic
2013-08-12 09:15:00,46.899925,I-BLEND,Academic
2013-08-12 09:30:00,48.557389,I-BLEND,Academic
2013-08-12 09:45:00,50.003954,I-BLEND,Academic
2013-08-12 10:00:00,50.910132,I-BLEND,Academic
2013-08-12 10:15:00,51.640905,I-BLEND,Academic
2013-08-12 10:30:00,52.867819,I-BLEND,Academic
2013-08-12 10:45:00,51.040696,I-BLEND,Academic
2013-08-12 11:00:00,51.081156,I-BLEND,Academic
2013-08-12 11:15:00,52.374434,I-BLEND,Academic
2013-08-12 11:30:00,52.182437,I-BLEND,Academic
2013-08-12 11:45:00,52.578062,I-BLEND,Academic
2013-08-12 12:00:00,53.499030,I-BLEND,Academic
2013-08-12 12:15:00,54.335293,I-BLEND,Academic
2013-08-12 12:30:00,52.030601,I-BLEND,Academic
2013-08-12 12:45:00,51.971173,I-BLEND,Academic
2013-08-12 13:00:00,53.115895,I-BLEND,Academic
2013-08-12 13:15:00,49.169750,I-BLEND,Academic
2013-08-12 13:30:00,48.782639,I-BLEND,Academic
2013-08-12 13:45:00,50.074123,I-BLEND,Academic
2013-08-12 14:00:00,51.441120,I-BLEND,Academic
2013-08-12 14:15:00,52.022766,I-BLEND,Academic
2013-08-12 14:30:00,51.805239,I-BLEND,Academic
2013-08-12 14:45:00,50.935907,I-BLEND,Academic
2013-08-12 15:00:00,52.685293,I-BLEND,Academic
2013-08-12 15:15:00,50.474982,I-BLEND,Academic
2013-08-12 15:30:00,50.927547,I-BLEND,Academic
2013-08-12 15:45:00,51.080099,I-BLEND,Academic
2013-08-12 16:00:00,51.931636,I-BLEND,Academic
2013-08-12 16:15:00,50.290157,I-BLEND,Academic
2013-08-12 16:30:00,47.987577,I-BLEND,Academic
2013-08-12 16:45:00,49.628035,I-BLEND,Academic
2013-08-12 17:00:00,51.455620,I-BLEND,Academic
2013-08-12 17:15:00,51.956846,I-BLEND,Academic
2013-08-12 17:30:00,50.012486,I-BLEND,Academic
2013-08-12 17:45:00,49.976581,I-BLEND,Academic
2013-08-12 18:00:00,48.195952,I-BLEND,Academic
2013-08-12 18:15:00,47.463481,I-BLEND,Academic
2013-08-12 18:30:00,47.819507,I-BLEND,Academic
2013-08-12 18:45:00,41.431912,I-BLEND,Academic
2013-08-12 19:00:00,40.214710,I-BLEND,Academic
2013-08-12 19:15:00,37.620473,I-BLEND,Academic
2013-08-12 19:30:00,37.332734,I-BLEND,Academic
2013-08-12 19:45:00,36.237907,I-BLEND,Academic
2013-08-12 20:00:00,32.776754,I-BLEND,Academic
2013-08-12 20:15:00,32.472511,I-BLEND,Academic
2013-08-12 20:30:00,31.545095,I-BLEND,Academic
2013-08-12 20:45:00,31.180382,I-BLEND,Academic
2013-08-12 21:00:00,30.844204,I-BLEND,Academic
2013-08-12 21:15:00,29.941530,I-BLEND,Academic
2013-08-12 21:30:00,30.173011,I-BLEND,Academic
2013-08-12 21:45:00,31.004898,I-BLEND,Academic
2013-08-12 22:00:00,30.665619,I-BLEND,Academic
2013-08-12 22:15:00,30.452498,I-BLEND,Academic
2013-08-12 22:30:00,31.468053,I-BLEND,Academic
2013-08-12 22:45:00,31.235790,I-BLEND,Academic
2013-08-12 23:00:00,30.703055,I-BLEND,Academic
2013-08-12 23:15:00,31.067421,I-BLEND,Academic
2013-08-12 23:30:00,30.563131,I-BLEND,Academic
2013-08-12 23:45:00,30.511186,I-BLEND,Academic
2013-08-13 00:00:00,29.766154,I-BLEND,Academic
2013-08-13 00:15:00,29.485252,I-BLEND,Academic
2013-08-13 00:30:00,28.936489,I-BLEND,Academic
2013-08-13 00:45:00,28.765635,I-BLEND,Academic
2013-08-13 01:00:00,28.361869,I-BLEND,Academic
2013-08-13 01:15:00,22.732051,I-BLEND,Academic
2013-08-13 01:30:00,16.670553,I-BLEND,Academic
2013-08-13 01:45:00,16.614338,I-BLEND,Academic
2013-08-13 02:00:00,15.927818,I-BLEND,Academic
2013-08-13 02:15:00,15.630369,I-BLEND,Academic
2013-08-13 02:30:00,15.776133,I-BLEND,Academic
2013-08-13 02:45:00,16.133996,I-BLEND,Academic
2013-08-13 03:00:00,15.578488,I-BLEND,Academic
2013-08-13 03:15:00,15.353848,I-BLEND,Academic
2013-08-13 03:30:00,15.172823,I-BLEND,Academic
2013-08-13 03:45:00,14.946930,I-BLEND,Academic
2013-08-13 04:00:00,14.867441,I-BLEND,Academic
2013-08-13 04:15:00,14.331696,I-BLEND,Academic
2013-08-13 04:30:00,14.590563,I-BLEND,Academic
2013-08-13 04:45:00,14.389717,I-BLEND,Academic
2013-08-13 05:00:00,14.117053,I-BLEND,Academic
2013-08-13 05:15:00,14.288204,I-BLEND,Academic
2013-08-13 05:30:00,14.304745,I-BLEND,Academic
2013-08-13 05:45:00,13.317626,I-BLEND,Academic
2013-08-13 06:00:00,12.360716,I-BLEND,Academic
2013-08-13 06:15:00,8.603597,I-BLEND,Academic
2013-08-13 06:30:00,8.546508,I-BLEND,Academic
2013-08-13 06:45:00,8.199486,I-BLEND,Academic
2013-08-13 07:00:00,9.487213,I-BLEND,Academic
2013-08-13 07:15:00,21.026494,I-BLEND,Academic
2013-08-13 07:30:00,26.451325,I-BLEND,Academic
2013-08-13 07:45:00,32.363940,I-BLEND,Academic
2013-08-13 08:00:00,38.047309,I-BLEND,Academic
2013-08-13 08:15:00,40.036117,I-BLEND,Academic
2013-08-13 08:30:00,39.986382,I-BLEND,Academic
2013-08-13 08:45:00,44.878420,I-BLEND,Academic
2013-08-13 09:00:00,43.031506,I-BLEND,Academic
2013-08-13 09:15:00,45.029401,I-BLEND,Academic
2013-08-13 09:30:00,46.491555,I-BLEND,Academic
2013-08-13 09:45:00,48.193882,I-BLEND,Academic
2013-08-13 10:00:00,49.483128,I-BLEND,Academic
2013-08-13 10:15:00,50.050331,I-BLEND,Academic
2013-08-13 10:30:00,50.282080,I-BLEND,Academic
2013-08-13 10:45:00,50.905944,I-BLEND,Academic
2013-08-13 11:00:00,50.702572,I-BLEND,Academic
2013-08-13 11:15:00,53.597965,I-BLEND,Academic
2013-08-13 11:30:00,53.995072,I-BLEND,Academic
2013-08-13 11:45:00,54.572842,I-BLEND,Academic
2013-08-13 12:00:00,53.934701,I-BLEND,Academic
2013-08-13 12:15:00,53.794875,I-BLEND,Academic
2013-08-13 12:30:00,54.084728,I-BLEND,Academic
2013-08-13 12:45:00,53.419718,I-BLEND,Academic
2013-08-13 13:00:00,52.372394,I-BLEND,Academic
2013-08-13 13:15:00,51.870780,I-BLEND,Academic
2013-08-13 13:30:00,50.616322,I-BLEND,Academic
